Date	      Ticker	      Open	        High	                Low	            Close	      Volume	            Dividends	        Stock_Splits	Return	Rolling_Volatility	Cumulative_Return	Drawdown
2018-01-02	AAPL	40.80646634783333	41.3196645800776	40.59063305847624	41.3100700378418	102223600	0	0	null	null	null	null
2018-01-03	AAPL	41.37482376915662	41.8592457327418	41.238132634723016	41.302879333496094	118071600	0	0	-0.00017406662199115353	null	-0.00017406662199115353	0
2018-01-04	AAPL	41.37722633453039	41.60025375019633	41.266914689176645	41.49473571777344	89738400	0	0	0.004645109187866092	0.0034076718948802304	0.004470234007409868	0
2018-01-05	AAPL	41.59305638905082	42.055892488360406	41.49952971482916	41.9671630859375	94640000	0	0	0.011385236223150796	0.005806192817498052	0.015906364900707848	0
2018-01-08	AAPL	41.811283111572266	42.11344534386416	41.71055870822904	41.811283111572266	82271200	0	0	-0.0037143319420003262	0.006536321235460631	0.012132951439475681	-0.003773413461232167
2018-01-09	AAPL	41.85925468665733	41.98155769196929	41.58586870006541	41.80649566650391	86336000	0	0	-0.00011450127123768805	0.0058332757802500275	0.012017060929874201	-0.0038893039708336463
2018-01-10	AAPL	41.52590859848026	41.799294538972845	41.48753774315768	41.79689407348633	95839600	0	0	-0.00022966749220454385	0.005327196897711022	0.011784633509422271	-0.004121731391285577
2018-01-11	AAPL	41.868838276401526	42.08467159193981	41.8448592363947	42.03430938720703	74670800	0	0	0.005680214259540017	0.005061585143907658	0.017531787012265987	0
2018-01-12	AAPL	42.25013461667644	42.53311506937796	42.12303437429435	42.46836471557617	101672400	0	0	0.010326215291674101	0.005442614562032134	0.02803903931107654	0
2018-01-16	AAPL	42.66262152937962	43.01994329785896	42.24055305206073	42.25254440307617	118263600	0	0	-0.005081907767002902	0.005835745609824186	0.022814639732419373	-0.005224399578657168
2018-01-17	AAPL	42.24294806332159	42.98636788372615	41.983953920476985	42.95039749145508	137547200	0	0	0.016516238210925405	0.0070603292519039644	0.03970768996786189	0
2018-01-18	AAPL	43.01514904163496	43.19021472839276	42.74656032444037	42.98876953125	124773600	0	0	0.0008934036012717694	0.006760051741283038	0.040636568562349096	0
2018-01-19	AAPL	42.83288735330445	43.0655056438647	42.54511324248914	42.79691696166992	129700400	0	0	-0.004462853244511122	0.006857591033577072	0.03599236027598374	-0.004644208286365359
2018-01-22	AAPL	42.5187408718268	42.63384980362338	42.35087291728034	42.44679641723633	108434400	0	0	-0.008180975857377093	0.007257876925362897	0.027516931788138743	-0.013119636774210353
2018-01-23	AAPL	42.51873631307311	43.0319346672324	42.40362739361823	42.45638275146485	130756400	0	0	0.00022584352737231583	0.006991387344060214	0.027748989836448468	-0.012887578725900628
2018-01-24	AAPL	42.50674055929216	42.518731909070674	41.53549977517136	41.78010940551758	204420400	0	0	-0.01592866141955862	0.008171194350602514	0.01137832415305029	-0.029258244409298806
2018-01-25	AAPL	41.84965470983057	41.955172736442	40.89520251690711	41.03429412841797	166116000	0	0	-0.017850965153315634	0.009166514491535356	-0.006675755068224487	-0.04731232363057358
2018-01-26	AAPL	41.24772788518657	41.24772788518657	40.78249129914168	41.130218505859375	156572000	0	0	0.0023376636415679553	0.008899864749949842	-0.004353697096559528	-0.044990265658908624
2018-01-29	AAPL	40.80646747390934	40.80646747390934	40.065448242932966	40.27888107299805	202561600	0	0	-0.02069858765131649	0.009891835159158336	-0.024962169366915643	-0.06559873792926474
2018-01-30	AAPL	39.69613919413109	40.137393053155066	39.49709449854779	40.04146957397461	184192800	0	0	-0.005894193003851633	0.009669324934169915	-0.030709230526723807	-0.0713457990890729
2018-01-31	AAPL	40.0174924509344	40.39399966063806	39.928763037365854	40.15178680419922	129915600	0	0	0.002755074461510576	0.009461581772297101	-0.02803876228197011	-0.0686753308443192
2018-02-01	AAPL	40.08943208635738	40.43715927914729	39.99110813979205	40.2357177734375	188923200	0	0	0.002090342072385676	0.009490255169660719	-0.02600703081403999	-0.06664359937638908
2018-02-02	AAPL	39.808855336031804	40.00070597311501	38.3939637486305	38.48988723754883	346375200	0	0	-0.043390068140929716	0.013249529718340146	-0.06826865211580524	-0.10890522067815434
2018-02-05	AAPL	38.15414677604045	39.30044952913983	37.41072701901543	37.52823638916016	290954000	0	0	-0.024984506773262916	0.013566972052804584	-0.09154750028787939	-0.1321840688502285
2018-02-06	AAPL	37.13014666605264	39.262078315572	36.931101976033325	39.09660720825195	272975200	0	0	0.041791753889740546	0.017207153055894178	-0.05358167699939076	-0.09421824556173986
2018-02-07	AAPL	39.11099724522904	39.1853384919789	38.14695418452635	38.25966262817383	206434400	0	0	-0.021407089766640297	0.017658335084634404	-0.07384173899665802	-0.11447830755900712
