Date	      Ticker	    Open	          High	          Low	            Close	          Volume	Dividends	Stock Splits
2018-01-02	AAPL	40.80646634783333	41.3196645800776	40.59063305847624	41.3100700378418	102223600.0	0.0	0.0
2018-01-03	AAPL	41.37482376915662	41.8592457327418	41.238132634723016	41.302879333496094	118071600.0	0.0	0.0
2018-01-04	AAPL	41.37722633453039	41.60025375019633	41.266914689176645	41.49473571777344	89738400.0	0.0	0.0
2018-01-05	AAPL	41.59305638905082	42.055892488360406	41.49952971482916	41.9671630859375	94640000.0	0.0	0.0
2018-01-08	AAPL	41.811283111572266	42.11344534386416	41.71055870822904	41.811283111572266	82271200.0	0.0	0.0
2018-01-09	AAPL	41.85925468665733	41.98155769196929	41.58586870006541	41.80649566650391	86336000.0	0.0	0.0
2018-01-10	AAPL	41.52590859848026	41.799294538972845	41.48753774315768	41.79689407348633	95839600.0	0.0	0.0
2018-01-11	AAPL	41.868838276401526	42.08467159193981	41.8448592363947	42.03430938720703	74670800.0	0.0	0.0
2018-01-12	AAPL	42.25013461667644	42.53311506937796	42.12303437429435	42.46836471557617	101672400.0	0.0	0.0
2018-01-16	AAPL	42.66262152937962	43.01994329785896	42.24055305206073	42.25254440307617	118263600.0	0.0	0.0
2018-01-17	AAPL	42.24294806332159	42.98636788372615	41.983953920476985	42.95039749145508	137547200.0	0.0	0.0
2018-01-18	AAPL	43.01514904163496	43.19021472839276	42.74656032444037	42.98876953125	124773600.0	0.0	0.0
2018-01-19	AAPL	42.83288735330445	43.0655056438647	42.54511324248914	42.79691696166992	129700400.0	0.0	0.0
2018-01-22	AAPL	42.5187408718268	42.63384980362338	42.35087291728034	42.44679641723633	108434400.0	0.0	0.0
2018-01-23	AAPL	42.51873631307311	43.0319346672324	42.40362739361823	42.45638275146485	130756400.0	0.0	0.0
2018-01-24	AAPL	42.50674055929216	42.518731909070674	41.53549977517136	41.78010940551758	204420400.0	0.0	0.0
2018-01-25	AAPL	41.84965470983057	41.955172736442	40.89520251690711	41.03429412841797	166116000.0	0.0	0.0
2018-01-26	AAPL	41.24772788518657	41.24772788518657	40.78249129914168	41.130218505859375	156572000.0	0.0	0.0
2018-01-29	AAPL	40.80646747390934	40.80646747390934	40.065448242932966	40.27888107299805	202561600.0	0.0	0.0
2018-01-30	AAPL	39.69613919413109	40.137393053155066	39.49709449854779	40.04146957397461	184192800.0	0.0	0.0
2018-01-31	AAPL	40.0174924509344	40.39399966063806	39.928763037365854	40.15178680419922	129915600.0	0.0	0.0
2018-02-01	AAPL	40.08943208635738	40.43715927914729	39.99110813979205	40.2357177734375	188923200.0	0.0	0.0
2018-02-02	AAPL	39.808855336031804	40.00070597311501	38.3939637486305	38.48988723754883	346375200.0	0.0	0.0
2018-02-05	AAPL	38.15414677604045	39.30044952913983	37.41072701901543	37.52823638916016	290954000.0	0.0	0.0
2018-02-06	AAPL	37.13014666605264	39.262078315572	36.931101976033325	39.09660720825195	272975200.0	0.0	0.0
2018-02-07	AAPL	39.11099724522904	39.1853384919789	38.14695418452635	38.25966262817383	206434400.0	0.0	0.0
